file,offset,f_in,f_out,cents_in,within_semitone,shift_cents,toward_grid,disagreement
bass_electronic_018-048-075.wav,0.0,130.8700457310321,130.87355492601233,-2099.2423209630174,0.7576790369826085,0.046421290298833226,-0.046421290298833226,1200.0003264340892
bass_electronic_018-048-075.wav,8.0,131.47617688199128,131.47049162652073,-2091.2425354622515,8.757464537748547,-0.07486314928899081,0.07486314928899081,1199.989760322978
bass_electronic_018-048-075.wav,16.0,132.08513140564347,132.08313450657195,-2083.242539647198,16.7574603528019,-0.026173466773374565,0.026173466773374565,1199.987188672627
bass_electronic_018-048-075.wav,25.0,132.77357352787834,132.7629398437374,-2074.2425928469265,25.757407153073473,-0.13865811392873043,0.13865811392873043,1199.9965176021065
bass_electronic_018-048-075.wav,33.0,133.38854775250326,133.38292995731808,-2066.2424596466594,33.75754035334057,-0.07291422898878389,0.07291422898878389,1200.0009437637443
bass_electronic_018-048-075.wav,41.0,134.00635526542715,133.9984627822966,-2058.2425217772943,41.757478222705686,-0.10196634247674478,0.10196634247674478,1200.027239087538
bass_electronic_018-048-075.wav,50.0,134.70482164722188,134.70090366862127,-2049.242438345548,50.75756165445182,-0.050354816694515254,-0.050354816694515254,1200.0397908738769
bass_electronic_018-048-075.wav,58.0,135.32873297639637,135.32335352887873,-2041.2424069402637,58.75759305973634,-0.06881958923131096,-0.06881958923131096,1200.0290232929738
bass_electronic_018-048-075.wav,66.0,135.9555312326512,135.9480505350905,-2033.242411678957,66.75758832104293,-0.09526052026920369,-0.09526052026920369,1200.0357563895093
bass_electronic_018-048-075.wav,75.0,136.66414302464358,136.65553758264085,-2024.2425063860308,75.75749361396925,-0.1090154516074985,-0.1090154516074985,1200.0002426444587
bass_electronic_018-048-075.wav,83.0,137.2971289378659,137.29489143566116,-2016.2424799025582,83.75752009744178,-0.028213784191691984,-0.028213784191691984,1200.0065021728196
bass_electronic_018-048-075.wav,91.0,137.93304614325888,137.9331966252011,-2008.2424597224353,91.75754027756466,0.0018887375240682243,0.0018887375240682243,1200.0066772618586
bass_electronic_018-049-075.wav,0.0,138.7141825352098,138.70991350373106,-1998.465867930362,1.5341320696379626,-0.053280827142506045,0.053280827142506045,1199.9974474741275
bass_electronic_018-049-075.wav,8.0,139.35664821238376,139.35614970673595,-1990.4660325515677,9.53396744843235,-0.00619296966333795,0.00619296966333795,1199.9991210319292
bass_electronic_018-049-075.wav,16.0,140.0021022400051,140.00451769014805,-1982.4660398802657,17.533960119734274,0.029868647623292797,-0.029868647623292797,1200.0009985113463
bass_electronic_018-049-075.wav,25.0,140.73181545579106,140.73543755436867,-1973.4660072463153,26.533992753684743,0.044557228735639,-0.044557228735639,1199.9955873370704
bass_electronic_018-049-075.wav,33.0,141.38363837943768,141.38130491804748,-1965.4660197796777,34.53398022032229,-0.028573328531427685,0.028573328531427685,1200.0019294058293
bass_electronic_018-049-075.wav,41.0,142.03847748902893,142.03908862932198,-1957.4660669388816,42.53393306111843,0.007448859116580069,-0.007448859116580069,1200.0011738427745
bass_electronic_018-049-075.wav,50.0,142.77880409719123,142.77388869767324,-1948.4660406001929,51.533959399807145,-0.05960165829891305,-0.05960165829891305,1200.0018441174393
bass_electronic_018-049-075.wav,58.0,143.44010738714158,143.43452007977473,-1940.4660604198443,59.533939580155675,-0.0674366837019909,-0.0674366837019909,1200.004523396343
bass_electronic_018-049-075.wav,66.0,144.10447387831258,144.10230391659456,-1932.4660770281448,67.53392297185519,-0.026069557698915675,-0.026069557698915675,1200.0066969869713
bass_electronic_018-049-075.wav,75.0,144.85556484500702,144.8480771697929,-1923.466097725218,76.5339022747819,-0.08949088932250245,-0.08949088932250245,1200.0029500778196
bass_electronic_018-049-075.wav,83.0,145.52648989014818,145.52420029970426,-1915.4660830516234,84.5339169483766,-0.027237983407152087,-0.027237983407152087,1199.9983014253296
bass_electronic_018-049-075.wav,91.0,146.2005178223341,146.20358844206234,-1907.4661231452872,92.53387685471284,0.03636037464290178,0.03636037464290178,1200.0013604017333
bass_electronic_018-059-025.wav,0.0,247.18371402692955,247.1802006745619,-998.3037971265927,1.6962028734072874,-0.024607116597649723,0.024607116597649723,2400.0148594724587
bass_electronic_018-059-025.wav,8.0,248.32855117246783,248.32119914900844,-990.3040574115277,9.695942588472349,-0.051255732375247796,0.051255732375247796,2400.0130710643516
bass_electronic_018-059-025.wav,16.0,249.47870936196506,249.50142710452883,-982.3041879019681,17.695812098031865,0.15764046140212248,-0.15764046140212248,2400.001409057899
bass_electronic_018-059-025.wav,25.0,250.7790381353281,250.7785098710721,-973.3041133256443,26.695886674355734,-0.0036468360232584395,0.0036468360232584395,2400.011975072092
bass_electronic_018-059-025.wav,33.0,251.9405679421051,251.93661764769473,-965.3040930181928,34.695906981807184,-0.02714504400205514,0.02714504400205514,2399.992211966917
bass_electronic_018-059-025.wav,41.0,253.10747160622287,253.09562338493777,-957.3041136423103,42.69588635768969,-0.08104274476529719,0.08104274476529719,2399.995471766901
bass_electronic_018-059-025.wav,50.0,254.42670040631165,254.41880878748688,-948.3041326094917,51.69586739050828,-0.053698967430985164,-0.053698967430985164,2400.0003566262135
